known_status,reaction_id,mcid,pdg_identifier,title,reactant_names_aaa,product_names_aaa,reactant_electrinos,product_electrinos,electrino_delta,reactant_positrinos,product_positrinos,positrino_delta
u,b_plus_s041_587,521,S041.587/2025,B+ decay mode 656,u.ad3,u.ad.e.ae3,19,19,0,25,25,0
u,b_plus_s041_631,521,S041.631/2025,B+ decay mode 37,u.ad3,P.aP.ae2.v2,43,43,0,49,49,0
u,b_plus_s041_80,521,S041.80/2025,B+ decay mode 542,u.ad3,u.au.d.ad.d2.ad2.u.ad,43,43,0,49,49,0
u,b_plus_s041_88,521,S041.88/2025,B+ decay mode 632,u.ad3,u.ad.ae2.e2,19,19,0,25,25,0
u,b_plus_s041_89,521,S041.89/2025,B+ decay mode 661,u.ad3,u.ad2.ae.e2,19,19,0,25,25,0
u,b_plus_s041_90,521,S041.90/2025,B+ decay mode 662,u.ad3,u.ad2.e.ae2,19,19,0,25,25,0
u,b_plus_s041_93,521,S041.93/2025,B+ decay mode 674,u.ad3,d.au.ae2.ae2,19,19,0,25,25,0
u,b_plus_s041_95,521,S041.95/2025,B+ decay mode 681,u.ad3,au.d2.ae.ae2,19,19,0,25,25,0
u,n_s017_1,2112,S017.1/2025,n decay mode 1,N,P.e.av,30,30,0,30,30,0
u,n_s017_4,2112,S017.4/2025,n decay mode 2,N,P.e.av.hp,36,36,0,36,36,0
u,p_s016_16,2212,S016.16/2025,p decay mode 49,P,ae.ae.e,15,15,0,21,21,0
u,p_s016_3,2212,S016.3/2025,p decay mode 42,P,ae.hp,15,15,0,21,21,0
u,p_s016_47,2212,S016.47/2025,p decay mode 36,P,e.u.ad.u.ad,27,27,0,33,33,0
u,p_s016_54,2212,S016.54/2025,p decay mode 45,P,ae.hp.hp,15,15,0,21,21,0
u,p_s016_56,2212,S016.56/2025,p decay mode 23,P,ae.u.ad.d.au,27,27,0,33,33,0
u,p_s016_57,2212,S016.57/2025,p decay mode 24,P,ae.u.au.d.ad.u.au.d.ad,51,51,0,57,57,0
u,p_s016_6,2212,S016.6/2025,p decay mode 1,P,ae.u.au.d.ad,27,27,0,33,33,0
u,p_s016_63,2212,S016.63/2025,p decay mode 68,P,N.u.ad.u.au.d.ad,51,51,0,57,57,0
u,p_s016_81,2212,S016.81/2025,p decay mode 83,P,ae.hp,15,15,0,21,21,0
u,p_s016_82,2212,S016.82/2025,p decay mode 85,P,ae.u.au.d.ad,27,27,0,33,33,0
u,p_s016_94,2212,S016.94/2025,p decay mode 93,P,ae.hp.hp,15,15,0,21,21,0
u,phi_1680_0_m067_12,100333,M067.12/2025,phi(1680)0 decay mode 8,d2.ad2,u.ad2.au.d2.u.ad.d.au,46,46,0,46,46,0
u,phi_1680_0_m067_13,100333,M067.13/2025,phi(1680)0 decay mode 10,d2.ad2,u.au.d.ad.d2.ad2.hp,40,40,0,40,40,0
u,phi_1680_0_m067_2,100333,M067.2/2025,phi(1680)0 decay mode 11,d2.ad2,u.ad2.au.d2.u.au.d.ad,46,46,0,46,46,0
u,pbar_s016_196,-2212,S016.196/2025,pbar decay mode 56,aP,ae2.e.e,21,20,1,15,14,1
u,pbar_s016_4,-2212,S016.4/2025,pbar decay mode 43,aP,e2.hp,21,20,1,15,14,1
u,pbar_s016_41,-2212,S016.41/2025,pbar decay mode 40,aP,ae.d.au.au.d2,33,32,1,27,26,1
u,pbar_s016_48,-2212,S016.48/2025,pbar decay mode 26,aP,e2.d.au.u.ad,33,32,1,27,26,1
u,pbar_s016_49,-2212,S016.49/2025,pbar decay mode 38,aP,ae2.d.au.d.au,33,32,1,27,26,1
u,pbar_s016_55,-2212,S016.55/2025,pbar decay mode 55,aP,e2.e.ae,21,20,1,15,14,1
u,pbar_s016_59,-2212,S016.59/2025,pbar decay mode 27,aP,e2.u.au.d.ad.u.au.d.ad,57,56,1,51,50,1
u,pbar_s016_87,-2212,S016.87/2025,pbar decay mode 84,aP,e2.hp,21,20,1,15,14,1
u,pbar_s016_88,-2212,S016.88/2025,pbar decay mode 86,aP,e2.u.au.d.ad,33,32,1,27,26,1
u,pbar_s016_92,-2212,S016.92/2025,pbar decay mode 94,aP,e2.hp.hp,21,20,1,15,14,1
u,b_minus_s041_10,-521,S041.10/2025,B- decay mode 639,au.d3,au.d2.e2.ae2,25,24,1,19,18,1
u,b_minus_s041_160,-521,S041.160/2025,B- decay mode 468,au.d3,au.d2.u.ad2.au.d2,37,36,1,31,30,1
u,b_minus_s041_245,-521,S041.245/2025,B- decay mode 393,au.d3,u.au.d.ad.d2.ad2.au.d2,49,48,1,43,42,1
u,b_minus_s041_347,-521,S041.347/2025,B- decay mode 505,au.d3,d2.ad2.au.d2.hp,31,30,1,25,24,1
u,b_minus_s041_403,-521,S041.403/2025,B- decay mode 503,au.d3,u.au.d.ad.d2.ad2.au.d2.hp,55,54,1,49,48,1
u,b_minus_s041_589,-521,S041.589/2025,B- decay mode 658,au.d3,d.au.e2.ae3,25,24,1,19,18,1
u,b_minus_s041_590,-521,S041.590/2025,B- decay mode 659,au.d3,d.au.ae2.e3,25,24,1,19,18,1
u,b_minus_s041_592,-521,S041.592/2025,B- decay mode 664,au.d3,au.d2.e.ae3,25,24,1,19,18,1
u,b_minus_s041_593,-521,S041.593/2025,B- decay mode 665,au.d3,au.d2.ae.e3,25,24,1,19,18,1
u,b_minus_s041_632,-521,S041.632/2025,B- decay mode 648,au.d3,au.d2.d.au.u.ad.e2.ae2,49,48,1,43,42,1
u,b_minus_s041_797,-521,S041.797/2025,B- decay mode 478,au.d3,ad.d2.au.d2.u.ad2.d.au,49,48,1,43,42,1
u,b_minus_s041_798,-521,S041.798/2025,B- decay mode 483,au.d3,ad.d2.au.d2.au.d2.u.ad,49,48,1,43,42,1
u,b_minus_s041_8,-521,S041.8/2025,B- decay mode 469,au.d3,au.d2.d2.ad2,25,24,1,19,18,1
u,b_minus_s041_96,-521,S041.96/2025,B- decay mode 680,au.d3,u.ad2.e2.e2,25,24,1,19,18,1
u,bbar0_s042_13,-511,S042.13/2025,Bbar0 decay mode 364,ad.d3,d.ad2.d2.ad2,22,21,1,22,21,1
u,bbar0_s042_166,-511,S042.166/2025,Bbar0 decay mode 294,ad.d3,u.au.d.ad.d2.ad2.d.ad2,46,45,1,46,45,1
u,bbar0_s042_17,-511,S042.17/2025,Bbar0 decay mode 568,ad.d3,d.ad2.ae2.e2,22,21,1,22,21,1
u,bbar0_s042_283,-511,S042.283/2025,Bbar0 decay mode 403,ad.d3,d.ad2.d2.ad2.hp,28,27,1,28,27,1
u,bbar0_s042_309,-511,S042.309/2025,Bbar0 decay mode 401,ad.d3,u.au.d.ad.d2.ad2.d.ad2.hp,52,51,1,52,51,1
u,bbar0_s042_81,-511,S042.81/2025,Bbar0 decay mode 363,ad.d3,d.ad2.u.ad2.au.d2,34,33,1,34,33,1
u,k_minus_s010_1,-321,S010.1/2025,K- decay mode 2,au.d2,e2.av2,14,13,1,8,7,1
u,k_minus_s010_10,-321,S010.10/2025,K- decay mode 37,au.d2,d.au.d.au.ae2.v2,38,37,1,32,31,1
u,k_minus_s010_12,-321,S010.12/2025,K- decay mode 13,au.d2,e2.av2.hp,20,19,1,14,13,1
u,k_minus_s010_124,-321,S010.124/2025,K- decay mode 6,au.d2,u.au.d.ad.u.au.d.ad.e2.av2,62,61,1,56,55,1
u,k_minus_s010_16,-321,S010.16/2025,K- decay mode 39,au.d2,d.au.e2.ae2,26,25,1,20,19,1
u,k_minus_s010_28,-321,S010.28/2025,K- decay mode 20,au.d2,u.au.d.ad.e2.av2.hp,44,43,1,38,37,1
u,k_minus_s010_30,-321,S010.30/2025,K- decay mode 33,au.d2,e2.av2.e.ae,26,25,1,20,19,1
u,k_minus_s010_46,-321,S010.46/2025,K- decay mode 52,au.d2,u.ad.e2.e2,26,25,1,20,19,1
u,k_minus_s010_48,-321,S010.48/2025,K- decay mode 34,au.d2,e.av.e2.ae2,26,25,1,20,19,1
u,k_minus_s010_5,-321,S010.5/2025,K- decay mode 4,au.d2,u.au.d.ad.e2.av2,38,37,1,32,31,1
u,k_minus_s010_9,-321,S010.9/2025,K- decay mode 8,au.d2,d.au.u.ad.e2.av2,38,37,1,32,31,1
u,pi_minus_s008_7,-211,S008.7/2025,pi- decay mode 9,d.au,e2.v,15,14,1,9,8,1
u,pi_minus_s008_8,-211,S008.8/2025,pi- decay mode 10,d.au,e2.av,15,14,1,9,8,1
u,tau_plus_s035_114,-15,S035.114/2025,tau+ decay mode 195,ae3,ae2.u.au.d.ad.d2.ad2,37,36,1,43,42,1
u,tau_plus_s035_117,-15,S035.117/2025,tau+ decay mode 36,ae3,u.ad.d.ad2.av3,25,24,1,31,30,1
u,tau_plus_s035_118,-15,S035.118/2025,tau+ decay mode 41,ae3,u.ad.d.ad2.u.au.d.ad.av3,49,48,1,55,54,1
u,tau_plus_s035_182,-15,S035.182/2025,tau+ decay mode 16,ae3,u.ad2.u.au.d.ad.av3,37,36,1,43,42,1
u,tau_plus_s035_229,-15,S035.229/2025,tau+ decay mode 237,ae3,ae2.u.au.d.ad.u.au.d.ad.d2.ad2,61,60,1,67,66,1
u,tau_plus_s035_245,-15,S035.245/2025,tau+ decay mode 95,ae3,u.ad2.d.au.u.ad.av3,37,36,1,43,42,1
u,tau_plus_s035_246,-15,S035.246/2025,tau+ decay mode 99,ae3,u.ad2.d.au.u.ad.u.au.d.ad.av3,61,60,1,67,66,1
